Feature,Chi2_Score
Healthcare_Costs,134.04187663665263
Incidence_Rate_per_100K,9.37866699009956
Mortality_Rate_per_100K,4.675279504085505
Obesity_BMI_Overweight,4.322571422132403
Country_Brazil,3.427308905509891
Diet_Risk_Moderate,3.3069410355794884
Country_South Korea,2.740113773302795
Alcohol_Consumption_Yes,1.7080802258787222
Healthcare_Access_Moderate,1.606312873059351
Diet_Risk_Low,1.3862878010903388
Cancer_Stage_Metastatic,1.2351105937482652
Country_Pakistan,1.2208242453883995
Country_Japan,0.9426107161575243
Country_South Africa,0.8257961291522105
Obesity_BMI_Obese,0.726242613617158
Country_China,0.6450401139700767
Diabetes_Yes,0.4699263550796896
Treatment_Type_Radiotherapy,0.4694802930752825
Economic_Classification_Developing,0.41148320903363966
Screening_History_Never,0.38170579906497226
Treatment_Type_Surgery,0.3694974957987678
Screening_History_Regular,0.24523200696638842
Country_India,0.21298129816561367
Country_USA,0.19982390590945276
Tumor_Size_mm,0.18800766063452273
Country_Germany,0.17892049803536728
Genetic_Mutation_Yes,0.17786447874232336
Country_Italy,0.15280659412658432
Age,0.1407570681000215
Early_Detection_Yes,0.11747568285735571
Healthcare_Access_Low,0.0868752065097422
Inflammatory_Bowel_Disease_Yes,0.06997318762198249
Family_History_Yes,0.06682899985201923
Country_New Zealand,0.06358084443366803
Physical_Activity_Moderate,0.049380425656596394
Physical_Activity_Low,0.03779341248945787
Urban_or_Rural_Urban,0.018492500532704986
Country_Canada,0.016596637226452247
Treatment_Type_Combination,0.015245619692986878
Country_Nigeria,0.014806616336509926
Smoking_History_Yes,0.013627264069880317
Gender_M,0.0034863896025248585
Country_France,0.002711461616623253
Country_UK,0.0024386463682720115
Insurance_Status_Uninsured,0.0003967662979528125
Cancer_Stage_Regional,0.0001710659805824138
