Model,Kelas,Precision,Recall,F1-Score,Support
Naive Bayes,Normal,0.9211,1.0,0.9589,245
Naive Bayes,Stunted,0.0,0.0,0.0,18
Naive Bayes,Severely Stunted,0.0,0.0,0.0,3
