mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_dt__criterion,param_dt__max_depth,param_dt__max_features,param_dt__min_samples_leaf,param_dt__min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.04022016525268555,0.005102050792610192,0.008524799346923828,0.0009369426528439452,gini,,sqrt,1,2,"{'dt__criterion': 'gini', 'dt__max_depth': None, 'dt__max_features': 'sqrt', 'dt__min_samples_leaf': 1, 'dt__min_samples_split': 2}",0.9376735548271156,0.9126648624801638,0.9484350941923584,0.948953519910411,0.9347315146734256,0.9364917092166948,0.01319207974298284,1
0.040328025817871094,0.005624085184328355,0.009949588775634765,0.0028029592439717302,gini,,log2,1,2,"{'dt__criterion': 'gini', 'dt__max_depth': None, 'dt__max_features': 'log2', 'dt__min_samples_leaf': 1, 'dt__min_samples_split': 2}",0.9376735548271156,0.9126648624801638,0.9484350941923584,0.948953519910411,0.9347315146734256,0.9364917092166948,0.01319207974298284,1
0.0868617057800293,0.028264973637888147,0.014693212509155274,0.008987736460588756,entropy,,,2,5,"{'dt__criterion': 'entropy', 'dt__max_depth': None, 'dt__max_features': None, 'dt__min_samples_leaf': 2, 'dt__min_samples_split': 5}",0.9353899623552461,0.9061861235183947,0.9243539921078839,0.9355310544696125,0.960908548400168,0.932473936170261,0.017795274312404873,3
0.08786649703979492,0.01598308987347793,0.011747312545776368,0.002224937751419578,entropy,15,,2,5,"{'dt__criterion': 'entropy', 'dt__max_depth': 15, 'dt__max_features': None, 'dt__min_samples_leaf': 2, 'dt__min_samples_split': 5}",0.9353899623552461,0.9061861235183947,0.9243539921078839,0.9355310544696125,0.960908548400168,0.932473936170261,0.017795274312404873,3
0.053937864303588864,0.004672395499645897,0.008362340927124023,0.0015558919354682359,gini,15,,2,2,"{'dt__criterion': 'gini', 'dt__max_depth': 15, 'dt__max_features': None, 'dt__min_samples_leaf': 2, 'dt__min_samples_split': 2}",0.9461070783231773,0.9087943708570696,0.9268706168850174,0.9284329498948913,0.9519093571462865,0.9324228746212885,0.015310347400237831,5
0.056346559524536134,0.005107354117236163,0.009169912338256836,0.002176847208644991,gini,,,2,2,"{'dt__criterion': 'gini', 'dt__max_depth': None, 'dt__max_features': None, 'dt__min_samples_leaf': 2, 'dt__min_samples_split': 2}",0.9461070783231773,0.9087943708570696,0.9268706168850174,0.9284329498948913,0.9519093571462865,0.9324228746212885,0.015310347400237831,5
0.06727743148803711,0.011081653780989766,0.016811370849609375,0.015490133015385363,entropy,,,1,5,"{'dt__criterion': 'entropy', 'dt__max_depth': None, 'dt__max_features': None, 'dt__min_samples_leaf': 1, 'dt__min_samples_split': 5}",0.9353899623552461,0.9061861235183947,0.9243539921078839,0.9335223384495062,0.960908548400168,0.9320721929662398,0.017744323747619653,7
0.0962449550628662,0.019119849322671408,0.03253812789916992,0.041345759009997034,entropy,15,,1,5,"{'dt__criterion': 'entropy', 'dt__max_depth': 15, 'dt__max_features': None, 'dt__min_samples_leaf': 1, 'dt__min_samples_split': 5}",0.9353899623552461,0.9061861235183947,0.9243539921078839,0.9335223384495062,0.960908548400168,0.9320721929662398,0.017744323747619653,7
0.07730088233947754,0.009058689330120743,0.012548351287841797,0.0039009166870081274,entropy,,,2,2,"{'dt__criterion': 'entropy', 'dt__max_depth': None, 'dt__max_features': None, 'dt__min_samples_leaf': 2, 'dt__min_samples_split': 2}",0.9353899623552461,0.902995698061423,0.9243539921078839,0.9301652699096399,0.960908548400168,0.9307626941668721,0.01866878993875232,9
0.13708205223083497,0.06700335480100646,0.02042832374572754,0.015833267842528063,entropy,15,,2,2,"{'dt__criterion': 'entropy', 'dt__max_depth': 15, 'dt__max_features': None, 'dt__min_samples_leaf': 2, 'dt__min_samples_split': 2}",0.9353899623552461,0.902995698061423,0.9243539921078839,0.9301652699096399,0.960908548400168,0.9307626941668721,0.01866878993875232,9
