Model,Accuracy,Precision,Recall,F1-Score,ROC AUC,Train Time (s),Pred Time (s),SMOTE
XGBoost,0.9586,0.9562,0.9586,0.9551,0.9829,17.5019,0.0081,Tidak
Random Forest,0.9549,0.955,0.9549,0.9546,0.9552,3.2899,0.0627,Ya (K=3)
Gradient Boosting,0.9549,0.9529,0.9549,0.9533,0.9528,14.4366,0.0192,Ya (K=3)
Gradient Boosting,0.9511,0.95,0.9511,0.9501,0.9536,4.7869,0.0091,Tidak
KNN,0.9436,0.9618,0.9436,0.9493,0.916,0.0119,0.0569,Ya (K=3)
Random Forest,0.9549,0.9502,0.9549,0.9484,0.9508,2.4703,0.0555,Tidak
Decision Tree,0.9474,0.9503,0.9474,0.9483,0.8311,0.0859,0.0,Ya (K=3)
XGBoost,0.9436,0.9423,0.9436,0.9425,0.9679,7.8098,0.007,Ya (K=3)
KNN,0.9474,0.9401,0.9474,0.9359,0.884,0.004,0.0518,Tidak
Decision Tree,0.9286,0.9287,0.9286,0.9284,0.7293,0.1885,0.002,Tidak
SVM,0.9135,0.9535,0.9135,0.9265,0.9847,3.6296,0.1504,Ya (K=3)
Logistic Regression,0.9211,0.8851,0.9211,0.8898,0.9488,0.1006,0.0,Tidak
Naive Bayes,0.9211,0.8483,0.9211,0.8832,0.807,0.0428,0.0,Tidak
SVM,0.9211,0.8483,0.9211,0.8832,0.9962,0.2857,0.0197,Tidak
Logistic Regression,0.8346,0.9259,0.8346,0.8713,0.9109,0.0769,0.0,Ya (K=3)
Naive Bayes,0.4361,0.9125,0.4361,0.5505,0.6945,0.0103,0.002,Ya (K=3)
